Chidamber-Kemerer metrics,sábado, 26 nov 2022 18:35:08 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
net.sourceforge.ganttproject.TaskTreeImageGeneratorExt,14,2,3,0,45,23
net.sourceforge.ganttproject.TestSetupHelper,23,1,8,0,10,8
net.sourceforge.ganttproject.TestSetupHelper.TaskManagerBuilder,26,1,7,0,18,10
net.sourceforge.ganttproject.TreeTableCellEditorImpl,4,1,2,0,33,20
net.sourceforge.ganttproject.TreeTableContainer,33,5,8,2,83,44
net.sourceforge.ganttproject.TreeTableContainer.ChartUpdater,2,1,4,0,6,4
net.sourceforge.ganttproject.TreeTableContainer.CollapseAllAction,2,3,1,0,7,3
net.sourceforge.ganttproject.TreeTableContainer.ExpandAllAction,2,3,1,0,7,3
net.sourceforge.ganttproject.TreeTableContainer.ExpandCollapseAction,2,3,1,0,9,4
net.sourceforge.ganttproject.TreeUtil,11,1,7,0,29,26
net.sourceforge.ganttproject.UIFacadeImpl,56,2,20,0,194,109
net.sourceforge.ganttproject.UIFacadeImpl.LafOption,7,3,5,0,20,8
net.sourceforge.ganttproject.action.ActionDelegate,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.ActionStateChangedListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.ActiveActionProvider,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.ArtefactAction,9,3,1,3,22,13
net.sourceforge.ganttproject.action.ArtefactDeleteAction,5,4,0,0,2,1
net.sourceforge.ganttproject.action.ArtefactNewAction,4,4,0,0,2,1
net.sourceforge.ganttproject.action.ArtefactPropertiesAction,4,4,0,0,2,1
net.sourceforge.ganttproject.action.BaselineDialogAction,12,3,1,0,28,16
net.sourceforge.ganttproject.action.CalculateCriticalPathAction,5,3,1,0,13,10
net.sourceforge.ganttproject.action.CancelAction,17,3,1,9,4,3
net.sourceforge.ganttproject.action.GPAction,103,2,6,86,73,65
net.sourceforge.ganttproject.action.GPAction.IconSize,19,n/a,3,n/a,4,2
net.sourceforge.ganttproject.action.OkAction,10,3,1,16,5,4
net.sourceforge.ganttproject.action.ShowChannelAction,6,3,1,0,20,10
net.sourceforge.ganttproject.action.ViewToggleAction,5,3,2,0,9,5
net.sourceforge.ganttproject.action.edit.CopyAction,5,3,1,0,12,6
net.sourceforge.ganttproject.action.edit.CutAction,6,3,1,0,12,7
net.sourceforge.ganttproject.action.edit.EditMenu,12,7,3,0,19,4
net.sourceforge.ganttproject.action.edit.PasteAction,18,3,1,0,37,14
net.sourceforge.ganttproject.action.edit.RedoAction,6,3,2,0,20,11
net.sourceforge.ganttproject.action.edit.RefreshViewAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.edit.SearchDialogAction,3,3,1,0,4,2
net.sourceforge.ganttproject.action.edit.SettingsDialogAction,8,3,1,0,6,3
net.sourceforge.ganttproject.action.edit.UndoAction,6,3,2,0,21,11
net.sourceforge.ganttproject.action.help.HelpMenu,9,1,1,0,8,2
net.sourceforge.ganttproject.action.help.HelpMenu.AboutAction,5,3,1,0,5,2
net.sourceforge.ganttproject.action.help.HelpMenu.RecoverLastProjectAction,12,3,1,0,23,9
net.sourceforge.ganttproject.action.help.HelpMenu.ViewLogAction,4,3,1,0,4,2
net.sourceforge.ganttproject.action.project.CloudProjectActionBase,12,3,1,2,12,6
net.sourceforge.ganttproject.action.project.ExitAction,3,3,2,0,5,3
net.sourceforge.ganttproject.action.project.NewProjectAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.project.OpenMRUDocumentAction,8,3,1,0,11,5
net.sourceforge.ganttproject.action.project.OpenProjectAction,8,3,2,0,14,7
net.sourceforge.ganttproject.action.project.OpenURLAction,9,4,1,0,10,6
net.sourceforge.ganttproject.action.project.PrintAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.project.ProjectExportAction,6,3,2,0,7,4
net.sourceforge.ganttproject.action.project.ProjectImportAction,6,3,2,0,8,4
net.sourceforge.ganttproject.action.project.ProjectMenu,17,7,5,0,31,6
